timestamp,location,price,loyaltynum,geometry,Cluster Nummer
,Hallowed Grounds,8.91,L8328,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Coffee Shack,16.63,L6417,"POLYGON ((24.85626448 36.07522123, 24.85626448 36.07530344, 24.85641875 36.07530344, 24.85641875 36.07522123, 24.85626448 36.07522123))",15.0
,Brew've Been Served,4.39,L4034,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,11.91,L9406,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,8.42,L1107,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,17.4,L2343,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,10.33,L6267,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,15.66,L6110,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Ouzeri Elian,28.37,L9406,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Ouzeri Elian,17.71,L2247,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Ouzeri Elian,21.85,L6110,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Albert's Fine Clothing,78.91,L6417,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))",5.0
,Guy's Gyros,23.12,L2247,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Ouzeri Elian,20.53,L1107,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Hallowed Grounds,5.85,L8328,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,3.09,L9406,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,3.9,L1107,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Coffee Shack,13.13,L6417,"POLYGON ((24.85626448 36.07522123, 24.85626448 36.07530344, 24.85641875 36.07530344, 24.85641875 36.07522123, 24.85626448 36.07522123))",15.0
,Brew've Been Served,14.88,L2247,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,8.4,L4034,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,3.92,L2343,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,11.63,L6267,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,11.48,L6110,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Ouzeri Elian,24.92,L2247,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Hallowed Grounds,15.24,L8328,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Coffee Shack,5.01,L6417,"POLYGON ((24.85626448 36.07522123, 24.85626448 36.07530344, 24.85641875 36.07530344, 24.85641875 36.07522123, 24.85626448 36.07522123))",15.0
,Brew've Been Served,18.25,L2343,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,16.72,L6267,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Hallowed Grounds,15.33,L1107,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Guy's Gyros,27.69,L2343,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Albert's Fine Clothing,224.52,L6417,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))",5.0
,Guy's Gyros,8.23,L2247,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Hallowed Grounds,16.75,L8328,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,4.88,L9406,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,17.63,L1107,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,5.91,L2247,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,9.34,L6267,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,14.36,L6110,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Guy's Gyros,38.15,L6110,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Ouzeri Elian,24.74,L2247,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Guy's Gyros,16.34,L8328,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Guy's Gyros,25.81,L2247,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,General Grocer,78.02,L8328,"POLYGON ((24.85648014 36.0603296, 24.85648014 36.06043016, 24.85657552 36.06043016, 24.85657552 36.0603296, 24.85648014 36.0603296))",9.0
,Guy's Gyros,36.2,L2247,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Ouzeri Elian,98.45,L4034,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Guy's Gyros,30.47,L8328,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Kronos Mart,147.3,L4034,"POLYGON ((24.84977038 36.06582196, 24.84977038 36.06589457, 24.84983936 36.06589457, 24.84983936 36.06582196, 24.84977038 36.06582196))",14.0
,General Grocer,159.3,L6417,"POLYGON ((24.85648014 36.0603296, 24.85648014 36.06043016, 24.85657552 36.06043016, 24.85657552 36.0603296, 24.85648014 36.0603296))",9.0
,Brew've Been Served,9.53,L9406,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,6.32,L6267,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,13.37,L6110,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Coffee Shack,4.09,L6417,"POLYGON ((24.85626448 36.07522123, 24.85626448 36.07530344, 24.85641875 36.07530344, 24.85641875 36.07522123, 24.85626448 36.07522123))",15.0
,Hallowed Grounds,15.96,L1107,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,19.89,L2343,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Guy's Gyros,21.03,L6110,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Guy's Gyros,38.07,L6417,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Guy's Gyros,36.87,L8328,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Ouzeri Elian,21.83,L1107,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Guy's Gyros,19.77,L2247,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Brew've Been Served,14.67,L2247,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,16.67,L8328,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,14.04,L9406,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,9.53,L2343,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,10.65,L1107,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,16.39,L4034,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Coffee Shack,3.63,L6417,"POLYGON ((24.85626448 36.07522123, 24.85626448 36.07530344, 24.85641875 36.07530344, 24.85641875 36.07522123, 24.85626448 36.07522123))",15.0
,Hallowed Grounds,6.16,L6267,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,11.53,L6110,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Ouzeri Elian,33.67,L1107,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Ouzeri Elian,19.7,L6417,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Guy's Gyros,35.12,L2247,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Ouzeri Elian,20.95,L1107,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Hallowed Grounds,18.69,L6267,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,3.14,L9406,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,8.42,L2247,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,5.75,L6110,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Coffee Shack,18.17,L6417,"POLYGON ((24.85626448 36.07522123, 24.85626448 36.07530344, 24.85641875 36.07530344, 24.85641875 36.07522123, 24.85626448 36.07522123))",15.0
,Hallowed Grounds,14.39,L1107,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,3.47,L2343,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Ouzeri Elian,25.7,L2247,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Guy's Gyros,12.19,L6267,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Ouzeri Elian,26.61,L8328,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Guy's Gyros,16.58,L2343,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Guy's Gyros,24.91,L2247,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Albert's Fine Clothing,228.15,L6417,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))",5.0
,Ouzeri Elian,8.57,L1107,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Brew've Been Served,5.05,L2247,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,17.92,L8328,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Coffee Shack,10.48,L6417,"POLYGON ((24.85626448 36.07522123, 24.85626448 36.07530344, 24.85641875 36.07530344, 24.85641875 36.07522123, 24.85626448 36.07522123))",15.0
,Brew've Been Served,3.84,L9406,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Hallowed Grounds,18.23,L6267,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Hallowed Grounds,4.6,L1107,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,11.21,L6110,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Ouzeri Elian,8.52,L9018,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Ouzeri Elian,8.47,L6417,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Ouzeri Elian,31.21,L1107,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Guy's Gyros,36.48,L8328,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Albert's Fine Clothing,283.38,L6417,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))",5.0
,Ouzeri Elian,22.65,L1107,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Brew've Been Served,11.69,L2247,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,8.07,L9406,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Coffee Shack,19.16,L6417,"POLYGON ((24.85626448 36.07522123, 24.85626448 36.07530344, 24.85641875 36.07530344, 24.85641875 36.07522123, 24.85626448 36.07522123))",15.0
,Hallowed Grounds,5.52,L6267,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,18.15,L4034,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Brew've Been Served,14.58,L6110,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Guy's Gyros,15.12,L2343,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Guy's Gyros,21.1,L6417,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Ouzeri Elian,26.1,L8328,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Ouzeri Elian,26.4,L1107,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Albert's Fine Clothing,189.52,L6267,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))",5.0
,Guy's Gyros,28.07,L2247,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Ouzeri Elian,14.9,L1107,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Albert's Fine Clothing,276.9,L5777,"POLYGON ((24.85756408 36.07660977, 24.85756408 36.07669916, 24.85769227 36.07669916, 24.85769227 36.07660977, 24.85756408 36.07660977))",5.0
,Hallowed Grounds,8.05,L5777,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Bean There Done That,10.28,L7783,"POLYGON ((24.85086542 36.08172086, 24.85086542 36.08182801, 24.85096705 36.08182801, 24.85096705 36.08172086, 24.85086542 36.08172086))",16.0
,Guy's Gyros,15.44,L7783,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Bean There Done That,16.09,L3191,"POLYGON ((24.85086542 36.08172086, 24.85086542 36.08182801, 24.85096705 36.08182801, 24.85096705 36.08172086, 24.85086542 36.08172086))",16.0
,Guy's Gyros,30.82,L3191,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Brew've Been Served,18.24,L1485,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Ouzeri Elian,38.9,L5947,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Bean There Done That,8.54,L3014,"POLYGON ((24.85086542 36.08172086, 24.85086542 36.08182801, 24.85096705 36.08182801, 24.85096705 36.08172086, 24.85086542 36.08172086))",16.0
,Bean There Done That,5.24,L4149,"POLYGON ((24.85086542 36.08172086, 24.85086542 36.08182801, 24.85096705 36.08182801, 24.85096705 36.08172086, 24.85086542 36.08172086))",16.0
,Guy's Gyros,15.29,L6544,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Hallowed Grounds,12.22,L6544,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Hallowed Grounds,10.07,L4424,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Brew've Been Served,8.88,L5259,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Guy's Gyros,28.94,L5259,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Brew've Been Served,4.24,L3800,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Guy's Gyros,16.92,L3800,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Guy's Gyros,39.29,L3800,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Hallowed Grounds,16.72,L5553,"POLYGON ((24.88586563 36.06362146, 24.88586563 36.06371539, 24.88596752 36.06371539, 24.88596752 36.06362146, 24.88586563 36.06362146))",28.0
,Bean There Done That,4.27,L3366,"POLYGON ((24.85086542 36.08172086, 24.85086542 36.08182801, 24.85096705 36.08182801, 24.85096705 36.08172086, 24.85086542 36.08172086))",16.0
,Ouzeri Elian,20.4,L3366,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
,Brew've Been Served,8.33,L8148,"POLYGON ((24.89986513 36.05402149, 24.89986513 36.05591615, 24.9025875 36.05591615, 24.9025875 36.05402149, 24.89986513 36.05402149))",2.0
,Guy's Gyros,37.82,L8148,"POLYGON ((24.90094207 36.05842222, 24.90094207 36.05853953, 24.90110187 36.05853953, 24.90110187 36.05842222, 24.90094207 36.05842222))",50.0
,Ouzeri Elian,20.56,L8148,"POLYGON ((24.87076418 36.05192026, 24.87076418 36.05197804, 24.8708547 36.05197804, 24.8708547 36.05192026, 24.87076418 36.05192026))",13.0
